company,role,sector,district,location,minerals_or_products,model_use,evidence_status,lifecycle_stage,employee_estimate,investment_gbp_m,annual_capacity_tonnes,resource_score,capacity_score,feedstock_score,demand_score,local_procurement_score,planning_risk_score,skills_intensity_score,circularity_score,notes,source_url
Ionic Technologies,critical_mineral_recycler,Recycling_Secondary,Belfast,Belfast Harbour,REE_magnet,REE recycling pilot and recycler capacity signal,web_verified,scale_up,70,5,400,0.20,0.95,0.80,0.85,0.75,0.20,0.85,0.95,"Belfast rare-earth magnet recycler spun out of QUB/Seren and acquired by Ionic Rare Earths; public reporting cites a 400 tpa separated rare-earth oxide commercial plant target and UK grant support.","https://www.ft.com/content/a8c8f655-1422-46ca-9d5e-30a5870bee4f"
Re-Gen Waste,waste_recycler,Recycling_Secondary,"Newry, Mourne & Down",Newry,WEEE_batteries_ELV_feedstock,critical feedstock collection and recycler agent signal,web_verified,operating,300,,0,0.10,0.75,0.85,0.45,0.65,0.10,0.55,0.75,"Newry-based waste-management group serving local authorities and supplying recyclable material resources to global markets; proxy for regional feedstock logistics.","https://regenwaste.com/"
RiverRidge,waste_recycler,Recycling_Secondary,Antrim & Newtownabbey,Mallusk,WEEE_batteries_ELV_feedstock,critical feedstock collection signal,desk_verified,operating,250,,0,0.10,0.65,0.70,0.40,0.65,0.10,0.50,0.65,"NI waste and resource-management operator; needs facility-level material split before calibration.","https://www.riverridge.co.uk/"
Bryson Recycling,waste_recycler,Recycling_Secondary,Belfast,Belfast,WEEE_batteries_ELV_feedstock,household collection and reuse/recycling signal,desk_verified,operating,150,,0,0.10,0.55,0.65,0.35,0.70,0.10,0.45,0.70,"Social-enterprise recycling operator; useful for municipal collection and reuse pathways; needs material-stream confirmation.","https://www.brysonrecycling.org/"
Envirogreen Recycling,waste_recycler,Recycling_Secondary,"Armagh, Banbridge & Craigavon",Armagh,commercial_recyclables,commercial recycling and feedstock signal,desk_verified,operating,110,,0,0.10,0.50,0.55,0.30,0.60,0.10,0.45,0.60,"Armagh commercial recycling and waste-management operator; open-source profile reports 110 employees in 2022, used cautiously as scale proxy.","https://en.wikipedia.org/wiki/Envirogreen_Recycling"
Dalradian Gold,mining_exploration,Mining_Quarrying,Fermanagh & Omagh,Curraghinalt,"Antimony;Copper;Tellurium;Gold;Silver",deposit quality and permitting/social-licence signal,web_verified,proposed,1000,250,,0.90,0.85,0.10,0.55,0.55,0.90,0.80,0.25,"Proposed Curraghinalt mine; public reporting notes gold plus silver/copper/critical minerals including antimony and tellurium, major local opposition, long planning delay, and company claims around jobs/tax/GVA.","https://www.theguardian.com/uk-news/2026/apr/11/omagh-northern-ireland-gold-mine-21bn-inquiry"
Galantas Gold,mining_exploration,Mining_Quarrying,Fermanagh & Omagh,Omagh,"Gold;Silver;Lead",exploration/mining operator context,desk_verified,care_and_maintenance,40,,0,0.45,0.40,0.05,0.20,0.45,0.55,0.55,0.10,"Omagh gold project operator; included for permitting, workforce and local mining-supply-chain context rather than tracked critical-mineral output.","https://www.galantas.com/"
Conroy Gold and Natural Resources,mining_exploration,Mining_Quarrying,"Armagh, Banbridge & Craigavon",Longford-Down Massif,"Antimony;Gold",cross-border exploration context and antimony signal,web_verified,exploration,30,,0,0.55,0.45,0.05,0.25,0.45,0.65,0.55,0.10,"Company is focused on the Longford-Down Massif and Clontibret/Orlock Bridge trend; relevant to NI border-region geology and antimony screening.","https://en.wikipedia.org/wiki/Conroy_Gold_and_Natural_Resources"
Irish Salt Mining and Exploration,mining_operator,Mining_Quarrying,Mid & East Antrim,Kilroot,Salt,domestic salt production signal,desk_verified,operating,70,,0,0.85,0.80,0.05,0.20,0.70,0.20,0.45,0.05,"Kilroot/Carrickfergus rock-salt mining context; used to keep salt as a current domestic bulk-mineral case.","http://www.irishsaltmining.com/"
Kilwaughter Minerals,quarry_mineral_processor,Mining_Quarrying,Mid & East Antrim,Larne,"Limestone;Lime;Aggregates",quarry/mineral processor local supplier signal,web_verified,operating,200,,0,0.65,0.70,0.05,0.35,0.75,0.20,0.55,0.20,"Larne-area quarry and mineral processor established since 1939; relevant to lime, minerals processing, construction inputs and local supplier capacity.","https://www.kilwaughter.com/"
Breedon / Whitemountain,quarry_materials,Mining_Quarrying,Multiple,Multiple NI sites,"Aggregates;Asphalt;Recycled_aggregates",quarry and recycled aggregates capacity signal,web_verified,operating,300,,0,0.60,0.80,0.30,0.35,0.65,0.20,0.50,0.45,"Construction-materials group with NI/Whitemountain presence; products include aggregates, recycled aggregates, asphalt and waste recovery services.","https://www.breedongroup.com/products/aggregates"
FP McCann,quarry_materials,Mining_Quarrying,Mid Ulster,Magherafelt,"Aggregates;Concrete",quarry and construction-materials local supplier signal,desk_verified,operating,400,,0,0.55,0.65,0.05,0.35,0.65,0.20,0.55,0.20,"NI construction products and quarry operator; needs site-by-site reserves and output data for calibration.","https://www.fpmccann.co.uk/quarries/"
Mannok,quarry_mineral_processor,Mining_Quarrying,Fermanagh & Omagh,Derrylin,"Cement;Aggregates;Concrete;Glass_inputs",cement/quarry and construction-material demand signal,web_verified,operating,800,330,,0.70,0.85,0.05,0.50,0.70,0.25,0.65,0.25,"Fermanagh building-products group with cement, concrete, quarry/aggregate products and packaging; 2024 reporting says more than 800 employees north and south of the border.","https://www.thesun.ie/news/13713547/sean-quinn-business-millions-kevin-lunney/"
Encirc,downstream_manufacturer,Manufacturing,Fermanagh & Omagh,Derrylin,"Glass_cullet;Silica;Soda_ash;Limestone",glass circularity and mineral demand signal,desk_verified,operating,370,,720000,0.30,0.80,0.55,0.70,0.65,0.15,0.60,0.80,"Derrylin container-glass plant context; open sources cite large bottle capacity and employment, relevant to glass cullet circularity and bulk mineral demand.","https://en.wikipedia.org/wiki/Mannok"
Wrightbus,downstream_manufacturer,Manufacturing,Mid & East Antrim,Ballymena,"EV_battery;Fuel_cell_bus;Aluminium;Copper",green manufacturing demand and circular procurement signal,web_verified,operating,2300,25,,0.20,0.90,0.20,0.95,0.70,0.20,0.90,0.65,"Ballymena zero-emission bus manufacturer; public reporting notes a shift toward battery-electric and hydrogen buses, large orders and thousands of jobs in NI/supply chain.","https://www.theguardian.com/business/2024/oct/08/go-ahead-transport-group-orders-1200-green-buses-from-wrightbus"
Seagate Technology,downstream_manufacturer,Manufacturing,Derry City & Strabane,Springtown,"Electronics_WEEE;Permanent_magnet;Aluminium;Copper",electronics demand and future e-waste signal,web_verified,operating,1300,115,,0.20,0.90,0.15,0.90,0.60,0.10,0.95,0.50,"Derry/Londonderry recording-head and photonics manufacturing site; public reporting cites over 1,300 staff and a GBP115m photonics/HAMR investment programme.","https://www.techradar.com/pro/seagate-invests-usd135-million-in-its-european-photonic-center-to-deliver-100tb-hard-drives-by-2030"
Spirit AeroSystems Belfast / Airbus-Boeing transition,downstream_manufacturer,Manufacturing,Belfast,Belfast,"Aerospace;Aluminium;Titanium;Composites",advanced manufacturing demand and ownership-risk signal,web_verified,transition,3500,439,,0.20,0.90,0.10,0.85,0.60,0.55,0.95,0.35,"Historic Belfast aerospace site; 2025 reporting says Airbus agreed to acquire A220 work involving about 1,500 workers while thousands of other jobs faced transition uncertainty.","https://www.theguardian.com/business/2025/apr/28/job-airbus-spirit-operations-belfast"
Harland & Wolff / Navantia UK,downstream_manufacturer,Manufacturing,Belfast,Belfast,"Offshore_wind;Marine_fabrication;Steel;Copper",renewables/marine fabrication demand signal,web_verified,operating,1000,,0,0.20,0.75,0.10,0.75,0.60,0.35,0.80,0.55,"Belfast shipyard/fabrication capability now under Navantia UK ownership; relevant to marine repair, defence, offshore wind and large metal fabrication.","https://www.thetimes.co.uk/article/spanish-shipbuilder-navantia-completes-harland-and-wolff-takeover-2lmz22vj8"
CDE Group,supply_chain_manufacturer,Manufacturing,Mid Ulster,Cookstown,"Mineral_processing_equipment;Recycling_equipment;Aggregates",mining/recycling equipment supply-chain signal,desk_verified,operating,500,,0,0.20,0.75,0.25,0.60,0.70,0.15,0.85,0.60,"Cookstown-origin wet-processing equipment supplier for natural materials, waste recycling and mining markets; needs current NI employment and revenue confirmation.","https://www.cdegroup.com/"
Terex Materials Processing / Powerscreen / Finlay,supply_chain_manufacturer,Manufacturing,Mid Ulster,"Dungannon / Omagh", "Crushing;Screening;Recycling_equipment;Aggregates",extractive and recycling equipment supply-chain signal,web_verified,operating,1000,,0,0.20,0.85,0.25,0.70,0.70,0.15,0.85,0.60,"Tyrone materials-processing equipment cluster; Terex products serve construction, infrastructure, recycling, quarrying and mining markets, supporting NI's extractive-engineering supply chain.","https://en.wikipedia.org/wiki/Terex"
