severity,import_cap,support,supply_gap_end,recycled_share_end,domestic_share_end,total_jobs_end,cum_disc_gva_gbp_m
mild_cap80,0.8,no_support,0.044,0.146,0.011,1132.3,785.2
mild_cap80,0.8,upstream,0.035,0.146,0.076,1750.6,1003.3
mild_cap80,0.8,midstream,0.021,0.209,0.011,1512.6,1029.5
mild_cap80,0.8,full,0.021,0.209,0.076,2130.6,1255.7
moderate_cap60,0.6,no_support,0.26,0.129,0.011,1055.2,772.8
moderate_cap60,0.6,upstream,0.192,0.132,0.076,1693.4,991.3
moderate_cap60,0.6,midstream,0.19,0.199,0.011,1438.6,1015.0
moderate_cap60,0.6,full,0.125,0.199,0.076,2056.5,1241.3
severe_cap40,0.4,no_support,0.49,0.1,0.011,895.3,750.4
severe_cap40,0.4,upstream,0.414,0.11,0.076,1591.7,969.9
severe_cap40,0.4,midstream,0.424,0.165,0.011,1259.9,988.0
severe_cap40,0.4,full,0.349,0.175,0.076,1950.6,1216.6
extreme_cap20,0.2,no_support,0.719,0.07,0.011,735.3,727.8
extreme_cap20,0.2,upstream,0.643,0.081,0.076,1431.7,947.3
extreme_cap20,0.2,midstream,0.667,0.123,0.011,1018.5,952.6
extreme_cap20,0.2,full,0.587,0.137,0.076,1745.4,1182.8
